Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
Nike Werbespot 1978,Nike,TV,2024-11-07,3561070,Palina Rojinski,Saturn macht Technik zum Erlebnis!,http://www.weimer.org/,W&V
Adidas Werbespot 2019,Adidas,TV,2024-10-03,7082684,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.huebel.de/,YouTube Leaderboard
Saturn Werbespot 1982,Saturn,YouTube,2022-11-13,883851,,Dein Style. Deine Regeln. Adidas Originals.,http://www.bien.org/,Meta Ads Library
Lidl Werbespot 2017,Lidl,YouTube,2021-05-15,4158725,Manuel Neuer,Erlebe Luxus auf vier Rädern – Mercedes-Benz.,https://www.ruppert.de/,YouTube Leaderboard
Hornbach Werbespot 2002,Hornbach,Facebook,2024-01-16,2127636,,Saturn macht Technik zum Erlebnis!,https://www.herrmann.com/,YouTube Leaderboard
Hornbach Werbespot 1974,Hornbach,Facebook,2023-09-14,4309055,Lena Meyer-Landrut,Dein Style. Deine Regeln. Adidas Originals.,https://www.schueler.com/,Meta Ads Library
Hornbach Werbespot 1980,Hornbach,TikTok,2021-07-25,2757534,Helene Fischer,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,https://www.drubin.de/,YouTube Leaderboard
Hornbach Werbespot 2011,Hornbach,YouTube,2022-03-20,9670266,Joko Winterscheidt,"Telekom – Erleben, was verbindet.",https://huhn.org/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2008,Mercedes-Benz,YouTube,2020-10-22,4084336,Florian David Fitz,Jetzt bei Lidl: Qualität zum besten Preis!,http://www.hahn.org/,W&V
Hornbach Werbespot 2014,Hornbach,YouTube,2020-12-26,699025,Florian David Fitz,Dein Style. Deine Regeln. Adidas Originals.,http://www.roehrdanz.com/,Deutscher Mediapreis
Adidas Werbespot 1970,Adidas,YouTube,2023-10-09,5734909,,"Entdecke die Vielfalt mit Edeka – frisch, regional, genial.",https://beckmann.org/,Deutscher Mediapreis
Saturn Werbespot 2017,Saturn,YouTube,2024-02-27,6086506,,Saturn macht Technik zum Erlebnis!,http://www.zorbach.net/,Meta Ads Library
Telekom Werbespot 1998,Telekom,Facebook,2021-04-09,4541230,,Mach es zu deinem Projekt – mit Hornbach.,http://www.faust.com/,Deutscher Mediapreis
Saturn Werbespot 2023,Saturn,TV,2022-11-29,4512929,Florian David Fitz,Dein Style. Deine Regeln. Adidas Originals.,https://moechlichen.org/,Meta Ads Library
Lidl Werbespot 2017,Lidl,Instagram,2023-09-20,4101349,Lena Meyer-Landrut,Saturn macht Technik zum Erlebnis!,https://butte.de/,Deutscher Mediapreis
Adidas Werbespot 2019,Adidas,YouTube,2023-01-14,5462832,Lena Meyer-Landrut,Fahr in die Zukunft mit dem neuen ID.4 von Volkswagen.,https://www.hein.com/,Deutscher Mediapreis
Mercedes-Benz Werbespot 2022,Mercedes-Benz,Instagram,2022-08-03,5719938,Joko Winterscheidt,Mach dich bereit – mit der neuen Nike Performance-Kollektion.,http://www.poelitz.org/,W&V
McDonald's Werbespot 1982,McDonald's,YouTube,2025-04-10,3215394,,Jetzt bei Lidl: Qualität zum besten Preis!,https://mude.de/,Meta Ads Library
